gender,weight_kg,height,waist,hip,chest,shoulder-breadth,wrist
1,56.85,170.853062,73.24810908,94.62612739,81.69197757,33.81028293,14.50698812
0,52.75,164.2302929,68.50495489,85.63184698,88.71139948,34.96969876,15.15709423
0,80,172.5557709,90.15271759,103.8480911,107.2672119,38.38117981,17.26010513
0,73.85,178.7748212,82.10059839,99.34230082,100.6735466,36.0599827,17.08646433
0,73.8,179.7178599,89.97108714,97.62849426,107.5789566,37.45127869,16.36274083
0,63.3,175.3321533,82.7869517,95.40557607,92.43688456,36.39458593,17.30263964
1,111.1,175.94331,118.4128356,132.0888824,134.9065893,37.61085637,17.13156909
0,64.7,168.3366699,83.01414108,96.21396828,94.24141121,35.98755455,16.39640474
1,111.5,176.0335601,113.0559643,128.2069648,127.5795449,37.65773051,17.49215834
0,70.2,169.3820419,83.88737869,94.97924805,96.62067413,36.25085068,16.55284214
1,55,160.4238913,73.50491333,95.10333579,84.43068332,31.28672454,15.58309428
0,67.3,169.1485748,84.21255578,95.62672679,97.93583679,37.26675288,17.00106324
1,47.4,148.0100098,73.60356331,87.64439011,93.15244293,31.49380732,13.52653575
0,88.75,185.8354726,93.27919159,108.7066111,111.3195389,39.3978536,17.59778124
1,65.9,159.9992553,83.61842543,102.0349798,101.4574083,34.14656707,16.36767227
1,59.2,166.1073399,76.73911964,94.34092599,91.63456754,33.19389357,15.85039174
1,64.1,168.8147918,81.34627269,94.03637813,96.36772596,33.77667192,16.87647599
1,106.05,176.1638794,108.5257187,124.6850891,118.802536,37.15875626,19.20680237
1,59.6,168.3596441,78.5355613,95.31173429,88.11738032,32.65991558,15.56020147
0,61.7,174.1941963,77.95945148,92.32252445,94.67257442,35.15348577,16.44201345
0,84.6,173.9376465,92.53395386,104.0792747,110.0670929,39.02110023,16.50973701
0,57.9,175.4978316,78.00204588,91.72218724,89.48918112,35.33771957,16.08078384
0,61.7,166.1525151,80.1163421,93.3682967,95.40365454,35.56640111,16.8333507
1,57.9,167.1743409,76.19794788,94.86200691,90.81800079,33.14992269,15.74441991
1,50.05,157.563736,69.50443268,90.0338974,84.38479614,31.50573349,14.1321125
0,104.1,177.8754166,117.5519737,114.0418495,127.5723122,39.68873482,19.68381138
0,83.6,179.3960934,91.63671303,105.3731766,103.3494749,38.54517698,17.24831057
1,87.2,164.674839,99.61196191,112.6459056,116.8036627,35.21147891,17.85513885
1,50.7,176.532405,68.60217813,88.14900951,81.76452598,32.28440016,14.42304063
1,66.8,169.6326904,85.42405701,103.033493,91.72704315,34.79792404,14.96931553
1,81.45,167.3082939,104.1323043,115.5635734,112.2276008,33.80503945,15.83690979
1,70.6,156.9791656,98.42097422,102.2460846,110.9032399,34.28859609,15.36235631
0,65.55,173.4093781,86.02011744,94.70706304,98.40014521,36.83473523,16.5314312
1,69.5,168.8113747,81.50304413,100.3785915,100.5068836,34.68965912,16.72483444
1,73.7,162.8368847,85.8904865,109.8226075,98.04692606,34.28641085,16.40879015
1,63.65,167.5240893,77.85377393,100.1192115,94.19776481,32.36613846,14.90280642
0,82.65,184.8660126,88.64938927,100.3532524,105.3981934,38.43402004,17.95403433
1,65.4,166.7448059,77.31511383,96.17027283,98.33932571,34.45761719,16.13860474
1,48.85,162.0205536,68.33713786,85.51158651,86.05005646,31.69594955,15.45832253
0,60.45,163.5365974,78.25721486,92.19012621,95.65948232,36.73979484,16.87952148
0,90.8,198.4121915,90.51593308,103.1570318,98.98358663,39.62770716,18.44380742
0,81.35,182.2700384,90.96423013,99.75696418,106.5965652,37.52137121,17.18694769
1,68.9,172.3322558,80.40068272,103.1531672,93.72027697,33.63980566,15.90316691
0,67.05,167.5431976,86.75336456,96.60519409,98.28332265,36.73549906,16.84242312
0,63.8,174.3266737,74.82287053,91.90319018,98.68146079,36.54110489,16.49306575
0,87.35,175.4069427,95.03644409,106.9908264,108.4148712,38.72245178,18.40258675
1,56.7,164.5149231,70.45824432,90.90895844,89.51002502,32.90728378,15.35408115
0,76.45,176.3821106,93.6571401,101.4391785,105.9981232,36.4242363,16.2722079
0,66.5,171.5434869,79.02116463,94.82012523,104.1369195,37.19290421,17.06442937
1,54,167.9800568,76.29455312,92.12561798,89.98917389,31.25134087,15.9363025
0,84.2,177.2245789,88.77295685,102.9822121,109.2266808,37.80450821,18.08021641
1,57.6,166.8239594,78.88832855,99.07204437,91.29849243,32.35831451,15.06208801
0,87.3,178.5805745,95.65231952,105.2863738,111.0383687,38.85976253,18.53453266
0,63.15,169.735054,82.37815094,96.69515991,96.95766449,37.34851456,16.26742554
1,60.3,171.0337219,74.06732896,96.51573495,90.66019485,32.42384854,15.55867543
0,74.85,193.3009593,81.99805196,97.47851054,95.58307139,36.04840724,17.72317187
1,49.55,155.8661804,69.73325348,87.74188995,83.36559296,30.70116615,14.34612942
0,84.1,181.2664199,85.14968509,102.8549888,101.1857336,37.52596138,18.82511393
1,84.2,170.1250515,99.83424187,109.136323,112.179296,35.65181446,15.68373859
0,85.8,183.3217706,85.40414238,99.65723292,103.7714528,38.97587819,17.7393979
0,59.9,172.2332001,80.28559113,91.6958313,92.89216614,35.41562271,16.49559212
0,71.65,169.8584442,92.45740891,97.81238747,108.4670048,38.97727394,16.87060022
0,86.75,188.7518005,88.00361772,102.4816326,108.3550901,39.97420259,17.71578511
1,62.4,167.2006226,79.82674408,97.42554677,92.1413147,32.45585921,14.58132299
1,61.95,161.3834719,80.64759527,98.06685584,97.74416787,34.7496827,15.28466923
0,72.2,176.466672,80.91058011,95.41134191,100.3388367,37.3392926,17.45705873
0,82.2,186.7567749,90.96250322,104.7539783,101.0350486,36.65569136,16.6069213
0,72.15,181.2201309,80.73619893,97.51238861,101.5242869,39.07995669,16.72232844
0,94.6,183.0304394,98.25038979,106.7746901,113.9588845,39.92230548,20.18708183
0,68.1,172.6446298,85.83866779,95.6283992,99.80384909,35.34965814,16.58197965
1,79.7,168.8036913,86.56409563,108.2581656,99.71060726,35.11195319,16.87321281
1,61,175.3079987,76.26789093,96.47663116,96.95018005,34.57385254,15.95995808
0,75,183.0336435,82.13025938,100.2093201,99.46183722,36.10749027,17.13372707
1,66.55,173.7499138,78.14131577,94.67541772,93.78097122,34.38223339,16.81041625
1,42.85,154.7051169,65.90503399,83.67157041,81.54842553,30.75268085,14.03104833
0,70.2,173.5212402,83.09007263,97.6341095,100.0244522,38.27985382,15.80773449
1,57.4,164.4202423,78.73377991,92.25883026,89.99101257,32.77209702,14.1240593
1,59.85,159.1188738,81.27308926,98.20642434,98.0210655,32.23889369,15.02161672
1,72.2,172.1146851,86.60416412,105.3911845,104.111997,32.82927322,15.67782561
1,50.6,156.0221834,68.48870668,91.36277953,80.19865345,30.34326081,14.2347903
0,72.5,173.261106,84.36710663,97.88372803,101.5810397,38.12826599,17.53708817
0,76.65,173.886795,86.56805038,102.6518536,102.0733242,36.68979073,17.7739315
1,61.7,164.7649696,82.46497276,94.53347536,101.4388539,34.6783156,16.06988161
1,69.05,167.3542674,83.99912415,101.7701436,101.572143,34.07174784,16.29975065
0,53.55,163.7015152,70.31475067,90.71026611,88.39241791,35.50621605,15.85898542
0,86.2,191.1867669,88.79885065,108.5146626,99.22734542,38.44627453,17.93412063
0,69.5,174.5805947,89.33162498,97.79331834,104.8996222,36.55158247,16.00855081
0,67.2,168.4979248046875,87.12102508544922,101.08618927001952,98.71942901611328,37.11225128173828,16.179780960083008
1,80.4,173.75433349609375,87.59523010253906,95.60420989990234,103.98646545410156,35.901641845703125,16.582298278808594
1,64.8,163.19847106933594,89.68466949,111.34029388427734,113.3946533203125,35.64194869995117,16.28615951538086
1,71.7,164.0558319091797,79.00891876220703,102.54749298095705,96.99085235595705,32.287845611572266,16.897571563720703
1,63.6,171.02120971679688,87.29157257080078,104.10043334960938,97.42770385742188,33.21223831176758,16.263349533081055
0,70,170.8101348876953,84.21551513671875,101.66205596923828,90.52539063,33.20972442626953,14.912676811218262
0,63.8,173.20425415039062,85.32826996,98.46199798583984,96.47671508789062,35.40135574,16.16589928
1,49.44,149.0418701171875,74.21787262,94.16708374023438,87.25470733642578,31.211349487304688,14.346322059631348
0,78.5,180.3073272705078,89.51910400390625,100.4983367919922,104.95321655273438,38.89845275878906,16.910911560058594
1,49.8,157.48838806152344,72.43788146972656,89.68531799316406,85.88672637939453,31.20779228210449,14.523147583007812
1,59.3,165.29489135742188,76.60395050048828,100.69447326660156,85.08468627929688,31.61387252807617,15.654763221740724
0,98.1,179.3898468017578,103.3746337890625,111.95464324951172,117.3749542236328,39.71814727783203,17.39948081970215
1,77.3,165.5545196533203,100.17544555664062,106.57933807373048,114.84844970703124,33.31837082,15.805895805358888
1,65.4,162.92210388183594,80.22688293457031,98.05202484,93.6969986,34.61125946044922,15.882019996643066
0,82.2,180.6788787841797,91.35318756103516,105.83240509033205,102.58877563476562,38.43751144,17.93816375732422
1,51.7,160.7417755126953,70.20998383,92.91204071044922,86.39918518066406,31.535551071166992,15.168564796447754
1,46,168.6397247314453,66.49908447265625,88.93309020996094,79.54965973,29.833681106567383,15.28766918182373
0,75.4,173.06460571289062,92.32206726,102.46022033691406,104.01803588867188,37.94479751586914,17.235891342163086
1,63.6,158.90960693359375,86.88711547851562,102.62230682373048,93.50924682617188,33.48685073852539,15.548578262329102
0,92.5,179.0930633544922,97.99356079101562,110.53997039794922,105.00955200195312,37.06996154785156,19.968629837036133
1,60.6,167.2351531982422,73.61280059814453,97.61447143554688,85.59555053710938,33.308345794677734,15.08150863647461
1,64.2,159.9240264892578,82.02029418945312,100.52873992919922,102.4279785,32.849639892578125,16.141162872314453
1,88.1,163.6241912841797,102.89959716796876,115.68265533447266,117.91885375976562,34.70831680297852,18.218996047973636
0,70.9,173.56455993652344,83.94132232666016,96.04930114746094,98.67947387695312,37.79027176,16.347064971923828
0,60.3,185.9285888671875,99.59527587890624,106.93609619140624,107.21421813964844,39.69141387939453,18.106922149658203
0,87.3,180.08485412597656,94.53956604003906,107.06932067871094,106.56684112548828,38.88164520263672,18.184307098388672
